State_UT,year,Computers_Primary_Only,Computers_U_Primary_Only,Computers_Sec_Only,Computers_HrSec_Only,Computers_All Schools,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools
Assam,2014-15,1.13,18.1,33.32,25.69,9.83,11.5,33.0,47.12,85.54,22.4,81.76,83.08,86.78,96.92,83.36,55.26,44.66,48.36,68.69,54.8,77.97,62.79,59.73,72.31,74.86
Assam,2015-16,1.18,18.09,37.77,33.62,10.76,12.76,34.77,64.22,87.09,25.55,84.64,86.06,89.62,97.44,86.21,85.83,71.07,72.82,80.21,82.8,86.39,72.66,78.04,82.95,83.94
Bihar,2013-14,1.42,10.79,17.77,22.5,5.47,4.12,16.19,30.6,60.83,9.96,87.75,99.28,96.96,97.92,92.53,63.04,85.61,0.0,0.0,73.42,63.43,92.59,0.0,0.0,75.41
Bihar,2014-15,2.29,11.65,23.02,36.74,8.19,13.76,34.96,34.88,64.86,25.22,87.54,99.25,98.02,96.81,92.74,61.95,85.77,76.91,86.59,73.92,63.46,91.47,83.4,88.18,76.3
Bihar,2015-16,2.37,11.64,24.19,42.08,9.37,22.28,47.6,41.06,68.58,37.78,90.31,99.32,98.13,93.72,94.43,83.78,95.44,90.99,87.46,89.16,84.35,97.53,91.9,89.07,90.05
Chandigarh,2013-14,54.55,0.0,0.0,0.0,95.83,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
Chandigarh,2014-15,45.45,0.0,0.0,0.0,95.43,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
Chandigarh,2015-16,50.0,0.0,0.0,0.0,94.53,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
Chhattisgarh,2013-14,2.64,13.04,17.77,0.0,9.8,49.75,62.85,47.25,43.48,57.28,95.51,94.82,86.71,86.96,95.47,80.95,84.17,96.67,100.0,82.85,93.1,95.39,98.41,100.0,94.1
Chhattisgarh,2014-15,3.3,14.7,25.11,14.29,11.88,60.51,72.18,55.21,47.62,66.88,96.95,96.95,89.87,100.0,97.03,72.4,77.3,63.14,52.63,76.06,91.02,94.08,68.09,52.38,92.0
